Language_ID,Parameter_ID,Form,Gloss,Native,Phonemic,Description,Source
thar,43,ãkh,eye,,,,thari
thar,100,ãg,number,,,,thari
thar,113,ãg,body part,,,,thari
thar,6225,ãḍorī,rope,,,"The initial vowel is strange, may point to some prefix.",thari
thar,386,ãdhāro,darkness,,,,thari
thar,385,ãdho,blind,,,,thari
thar,38,akhar,letter,,,,thari
thar,48,akhrūṭ,walnut,,,,thari
thar,68,ag,front,,,,thari
thar,68,age,"already, before",,adv,,thari
thar,68,agmī̃,before,,,,thari
thar,68,agyā̃,"in front of, before",,adv,,thari
thar,68,aglo,succeeding,,,,thari
thar,630,agh,rate,,,,thari
thar,420,acanto,suddenly,,,,thari
thar,242,aj,today,,,,thari
thar,152,ajmo,ajwain,,,,thari
thar,174,ãjīr,fig,,,,thari
thar,277,ajho,"shelter, protection",,m,,thari
thar,1338,aṭo,flour,,,,thari
thar,183,aṭkal,device,,,,thari
thar,941,aṭh,eight,,,,thari
thar,937,aṭham,eighth day of month,,,,thari
thar,950,aṭhāīs,28,,,,thari
thar,941,aṭhānī,eight anna piece,,,,thari
thar,948,aṭhāno,98,,,,thari
thar,946,aṭhārā̃,18,,,,thari
thar,949,aṭhāvan,58,,,,thari
thar,954,aṭhotar,78,,,,thari
thar,951,aṭhyāsī,88,,,,thari
thar,651,aḍhāī,2 1/2,,,,thari
thar,644,adh,half,,,,thari
thar,679,adhrãg,paralysis,,,,thari
thar,398,anāj,cereal,,,,thari
thar,10511,abhī̃,you,,,,thari
thar,565,amās,new moon,,,,thari
thar,596,arṭ,spinning wheel,,,,thari
thar,944,aṛtārīs,48,,,,thari
thar,945,aṛtrīs,38,,,,thari
thar,644,ardho,half,,,,thari
thar,954,aṛsaṭh,68,,,,thari
thar,10511,avhī̃,you,,,,thari
thar,986,asī̃,we,,,,thari
thar,911,asī,eighty,,,,thari
thar,925,asū,seventh month of īndian year,,,,thari
thar,516,ahnān,sign,,,,thari
thar,137,ā̃gūṭho,thumb,,,,thari
thar,135,ā̃grī,finger,,,,thari
thar,1101,ā̃jṇi,sty,,,,thari
thar,1182,ā̃trā,intestines,,,,thari
thar,1182,ā̃tro,"guts, small intestine",,f,,thari
thar,1268,ā̃ḇo,mango,,,,thari
thar,997,āī,grandmother,,,,thari
thar,39,ākhāro,"arena, stadium",,m,,thari
thar,1021,ākheṛo,nest,,,,thari
thar,1505,āthar,harness,,,,thari
thar,1114,āno,anna,,,,thari
thar,1135,āp,"self, in person",,pron,,thari
thar,1135,āpo,"pride, ego",,m,,thari
thar,549,ābho,sky,,,,thari
thar,1280,āmlī,tamarind,,,,thari
thar,1320,ārīṭho,soap-nut,,,,thari
thar,1143,ārīso,mirror,,,,thari
thar,1295,āropār,through and through,,,,thari
thar,8598,āṛo pāṛo,neigbourhood,,,,thari
thar,1295,ārpār,through,,,,thari
thar,708,ārsū,lazy,,,,thari
thar,1456,ās,hope,,,,thari
thar,1456,āsā,hope,,,,thari
thar,2472,ikāvan,51,,,,thari
thar,2476,ikīs,21,,,,thari
thar,2479,ikotar,71,,,,thari
thar,2464,iktāṛīs,41,,,,thari
thar,2469,iktrīs,31,,,,thari
thar,2491,ikyāsī,81,,,,thari
thar,2478,iksaṭh,71,,,,thari
thar,2485,igyārā̃,11,,,,thari
thar,1600,iṭ,"brick, diamonds (in cards)",,f,,thari
thar,1589,iḍ̠o,so big,,,,thari
thar,1589,ito,so much,,,,thari
thar,1564,ith,here,,,,thari
thar,603,iṛkī,elbow,,,,thari
thar,198,ilsī,linseed,,,,thari
thar,1111,ī̃ḍ̠o,egg,,,,thari
thar,2360,ukhrī,mortar,,,,thari
thar,2415,ugaṇasī,79,,,,thari
thar,2407,ugaṇcārīs,39,,,,thari
thar,2408,ugaṇtrīs,29,,,,thari
thar,2409,ugaṇnive,89,,,,thari
thar,2410,ugaṇpacās,49,,,,thari
thar,2411,ugaṇvīs,19,,,,thari
thar,2413,ugaṇsaṭh,59,,,,thari
thar,2414,ugaṇsatar,69,,,,thari
thar,1972,ughāṛo,naked,,,,thari
thar,1976,ughrānī,collection,,,,thari
thar,1846,uchal,"throw, jerk",,f,,thari
thar,1670,ujaro,pure,,,,thari
thar,2387,uṭh,camel,,,,thari
thar,2178,uḍ̠oh,white ant,,,,thari
thar,1767,utar,north,,,,thari
thar,1788,utāvaro,"in haste, fast",,adj,,thari
thar,1589,uto,that much,,,,thari
thar,1564,uth,there,,,,thari
thar,2424,un,wool,,,,thari
thar,2391,unhāro,summer,,,,thari
thar,2389,unho,warm,,,,thari
thar,2426,ubho,"vertical, steep",,adj,,thari
thar,2426,ubhrāṇo,flat-footed,,,,thari
thar,1693,urad,a kind of bean or pulse,,,,thari
thar,2368,ulṭī,vomiting,,,,thari
thar,1633,ū̃gh,sleep,,,,thari
thar,1634,ū̃co,high,,,,thari
thar,2095,ū̃ḍ̠ar,mouse,,,,thari
thar,2402,ū̃ḍ̠āī,depth,,,,thari
thar,2402,ū̃ḍ̠aṇ,abyss,,,,thari
thar,2095,ū̃ḍ̠rī,mouse,,,,thari
thar,2402,ūḍo,deep,,,,thari
thar,2310,ūdho,inverted,,,?,thari
thar,2471,ekānO,91,,,,thari
thar,1067,eṭho,defiled,,,,thari
thar,1589,etro,"so much, this much",,adv,,thari
thar,2517,eraḍyo,castor oil seed,,,,thari
thar,252,enraṇ,anvil,,,,thari
thar,1043,okhāṇo,proverb,,,,thari
thar,414,okho,difficult,,,,thari
thar,1960,oglāī,belching,,,,thari
thar,2544,oṭo,floor,,,,thari
thar,2544,oṭlo,raised platform,,,note 185,thari
thar,2544,oṭlī,small platform,,,,thari
thar,2547,oḍhaṇyo,headgear,,,,thari
thar,e16,obāsī,yawn,,,,thari
H,e16,ubāsī,yawn,,,,arora
thar,1853,osīso,"bolster, pillow",,m,,thari
thar,2668,kaḍo,thorn,,,,thari
thar,13627,kadh,"neck, head",,m,?,thari
thar,2764,kaval,lotus,,,,thari
thar,e17,kakar,cloud,,,,thari
S,e17,kakaru,cloud,,,,arora
thar,2820,kakrā,pebbles,,,,thari
thar,2817,kakrī,cucumber,,,,thari
thar,2589,kakh,straw,,,,thari
thar,2613,kaco,raw,,,,thari
thar,2614,kacoṛī,fried pastry,,,,thari
thar,2827,kacṛī,dried vegetable used as a snack,,,,thari
