confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,name,pk,valueset_pk,word_pk
,Exact counterpart (),,,47780,{},,világo,47781,9,43132
,Super-counterpart (),,,47781,{},,phú,47782,404,42703
,Super-counterpart (),,,47782,{},,phú,47783,799,42703
,Super-counterpart (),,,47783,{},,praho,47784,1194,42747
,Exact counterpart (),,,47784,{},,čik,47785,1589,41838
,Exact counterpart (),,,47785,{},,póši,47786,1984,42741
,Sub-counterpart (),,,47786,{},,heďo,47787,2379,42128
,Sub-counterpart (),,,47787,{},,dombo,47788,2379,41938
,Super-counterpart (),,,47788,{},,igeňeššígo,47789,3169,42158
,Exact counterpart (),,,47789,{},,sigeto,47790,3959,42161
,Super-counterpart (),,,47790,{},,parto,47791,4749,42646
,Exact counterpart (),,,47791,{},,barlango,47792,5144,41700
,Super-counterpart (),,,47792,{},,páňi,47793,5539,42597
,Exact counterpart (),,,47793,{},,tengeri,47794,5934,42999
,Exact counterpart (),,,47794,{},,ňugotno,47795,6329,42569
,Super-counterpart (),,,47795,{},,zavarošno,47796,6724,43156
,Exact counterpart (),,,47796,{},,habo,47797,7119,42091
,Exact counterpart (The word might be a nonce loanword.),,,47797,{},,lagúna,47798,8699,42374
,Exact counterpart (),,,47798,{},,hullámo,47799,9884,42150
,Super-counterpart (),,,47799,{},,páňi,47800,11464,42597
,Exact counterpart (),,,47800,{},,fojó,47801,11464,42035
,Sub-counterpart (),,,47801,{},,patako,47802,11464,42653
,Exact counterpart (),,,47802,{},,forgó (1),47803,11859,42037
,Sub-counterpart (),,,47803,{},,haňig,47804,12254,42114
,Sub-counterpart (),,,47804,{},,féhaňig,47805,12254,42014
,Exact counterpart (),,,47805,{},,močára,47806,12649,42484
,Exact counterpart (),,,47806,{},,ešíši,47807,13044,41996
,Exact counterpart (),,,47807,{},,véš,47808,13439,43117
,Super-counterpart (),,,47808,{},,kašt,47809,13834,42240
,Sub-counterpart (),,,47809,{},,bár (1),47810,14229,41695
,Sub-counterpart (),,,47810,{},,kėvėčo,47811,14229,42282
,Exact counterpart (),,,47811,{},,feldrengíši,47812,14624,42016
,Super-counterpart (),,,47812,{},,nebo,47813,15019,42547
,Exact counterpart (),,,47813,{},,kham,47814,15414,42289
,Exact counterpart (),,,47814,{},,čhon,47815,15809,41824
